DATE,BAMLEMRECRPIEMEATRIV
1998-12-31,100.0
1999-01-04,99.44
1999-01-05,100.25
1999-01-06,101.17
1999-01-07,101.92
1999-01-08,101.96
1999-01-11,102.48
1999-01-12,102.11
1999-01-13,101.94
1999-01-14,102.08
1999-01-15,101.74
1999-01-18,102.17
1999-01-19,102.18
1999-01-20,102.29
1999-01-21,102.72
1999-01-22,102.65
1999-01-25,102.62
1999-01-26,102.73
1999-01-27,102.93
1999-01-28,103.09
1999-01-29,103.82
1999-01-31,103.86
1999-02-01,103.79
1999-02-02,104.22
1999-02-03,104.26
1999-02-04,103.83
1999-02-05,103.91
1999-02-08,103.55
1999-02-09,103.25
1999-02-10,103.58
1999-02-11,103.69
1999-02-12,103.92
1999-02-15,103.87
1999-02-16,103.85
1999-02-17,104.3
1999-02-18,104.69
1999-02-19,104.64
1999-02-22,104.59
1999-02-23,104.52
1999-02-24,104.63
1999-02-25,103.95
1999-02-26,103.91
1999-02-28,103.96
1999-03-01,103.79
1999-03-02,103.91
1999-03-03,103.61
1999-03-04,103.28
1999-03-05,103.53
1999-03-08,103.84
1999-03-09,103.8
1999-03-10,103.91
1999-03-11,104.17
1999-03-12,104.48
1999-03-15,105.14
1999-03-16,105.27
1999-03-17,105.84
1999-03-18,106.21
1999-03-19,106.38
1999-03-22,106.49
1999-03-23,106.55
1999-03-24,106.42
1999-03-25,106.78
1999-03-26,106.65
1999-03-29,106.88
1999-03-30,107.56
1999-03-31,107.85
1999-04-01,108.62
1999-04-02,108.89
1999-04-05,108.95
1999-04-06,109.16
1999-04-07,110.14
1999-04-08,112.26
1999-04-09,112.85
1999-04-12,113.78
1999-04-13,115.87
1999-04-14,116.47
1999-04-15,116.5
1999-04-16,116.69
1999-04-19,115.85
1999-04-20,117.03
1999-04-21,116.88
1999-04-22,116.85
1999-04-23,117.99
1999-04-26,118.2
1999-04-27,118.48
1999-04-28,118.46
1999-04-29,119.15
1999-04-30,119.24
1999-05-03,118.55
1999-05-04,118.93
1999-05-05,119.34
1999-05-06,119.79
1999-05-07,120.89
1999-05-10,120.99
1999-05-11,120.46
1999-05-12,119.03
1999-05-13,120.03
1999-05-14,120.23
1999-05-17,120.21
1999-05-18,120.42
1999-05-19,121.29
1999-05-20,120.49
1999-05-21,120.71
1999-05-24,121.08
1999-05-25,121.34
